PROV1105;Nadanpalawadanmas;Nadanpalawadanmas;Nadanpalawadanmas;;;;;;;;;x
PROV1106;Nonabra;Nonabra;Nonabra;;;;;;;;;x
PROV1107;Wicina;Wicina;Wicina;;;;;;;;;x
PROV1108;Toratha;Toratha;Toratha;;;;;;;;;x
PROV1109;Taemoran;Taemoran;Taemoran;;;;;;;;;x
PROV1110;Elanhad;Elanhad;Elanhad;;;;;;;;;x
PROV1111;Rakina;Rakina;Rakina;;;;;;;;;x
PROV1112;Detpalamadaran;Detpalamadaran;Detpalamadaran;;;;;;;;;x
PROV1113;Koratha;Koratha;Koratha;;;;;;;;;x
PROV1114;Kalibor;Kalibor;Kalibor;;;;;;;;;x
PROV1115;Ketibor;Ketibor;Ketibor;;;;;;;;;x
PROV1116;Raleslav;Raleslav;Raleslav;;;;;;;;;x
PROV1117;Saleslav;Saleslav;Saleslav;;;;;;;;;x
PROV1139;Ramira;Ramira;Ramira;;;;;;;;;x
PROV1140;Raysira;Raysira;Raysira;;;;;;;;;x
PROV1141;Roreda;Roreda;Roreda;;;;;;;;;x
PROV1149;Tetony;Tetony;Tetony;;;;;;;;;x
PROV1152;Rilelen;Rilelen;Rilelen;;;;;;;;;x
PROV1155;Quarira;Quarira;Quarira;;;;;;;;;x
PROV1156;Qedatti;Qedatti;Qedatti;;;;;;;;;x
PROV1162;Lilelen;Lilelen;Lilelen;;;;;;;;;x
PROV1167;Lilibor;Lilibor;Lilibor;;;;;;;;;x
PROV1170;Bakira;Bakira;Bakira;;;;;;;;;x
PROV1171;Keduga;Keduga;Keduga;;;;;;;;;x
PROV1177;Deduga;Deduga;Deduga;;;;;;;;;x
PROV1180;Qiluga;Qiluga;Qiluga;;;;;;;;;x
PROV1181;Retatha;Retatha;Retatha;;;;;;;;;x
PROV1182;Syape;Syape;Syape;;;;;;;;;x
PROV1184;Taloumas;Taloumas;Taloumas;;;;;;;;;x
PROV1188;Kaematha;Kaematha;Kaematha;;;;;;;;;x
PROV1190;Dudony;Dudony;Dudony;;;;;;;;;x
PROV1192;Laluga;Laluga;Laluga;;;;;;;;;x
PROV1194;Deladai;Deladai;Deladai;;;;;;;;;x
PROV1195;Reopmas;Reopmas;Reopmas;;;;;;;;;x
PROV1205;Ruagada;Ruagada;Ruagada;;;;;;;;;x
