PROV1067;Kutine;Kutine;Kutine;;;;;;;;;x
PROV1068;Esumalay;Esumalay;Esumalay;;;;;;;;;x
PROV1069;Worabra;Worabra;Worabra;;;;;;;;;x
PROV1070;Reusaura;Reusaura;Reusaura;;;;;;;;;x
PROV1071;Kalaura;Kalaura;Kalaura;;;;;;;;;x
PROV1072;Barilen;Barilen;Barilen;;;;;;;;;x
PROV1073;Lepala;Lepala;Lepala;;;;;;;;;x
PROV1074;Nausaura;Nausaura;Nausaura;;;;;;;;;x
PROV1075;Netadra;Netadra;Netadra;;;;;;;;;x
PROV1076;Koratti;Koratti;Koratti;;;;;;;;;x
PROV1077;Nemeya;Nemeya;Nemeya;;;;;;;;;x
PROV1078;Kaemeya;Kaemeya;Kaemeya;;;;;;;;;x
PROV1079;Telia;Telia;Telia;;;;;;;;;x
PROV1080;Kepaura;Kepaura;Kepaura;;;;;;;;;x
PROV1081;Dejoheya;Dejoheya;Dejoheya;;;;;;;;;x
PROV1082;Qahkaam;Qahkaam;Qahkaam;;;;;;;;;x
PROV1083;Natti;Natti;Natti;;;;;;;;;x
PROV1084;Kalatti;Kalatti;Kalatti;;;;;;;;;x
PROV1085;Nandev;Nandev;Nandev;;;;;;;;;x
PROV1086;Kepatti;Kepatti;Kepatti;;;;;;;;;x
PROV1087;Nilina;Nilina;Nilina;;;;;;;;;x
PROV1088;Tandev;Tandev;Tandev;;;;;;;;;x
PROV1089;Koreya;Koreya;Koreya;;;;;;;;;x
PROV1090;Roradra;Roradra;Roradra;;;;;;;;;x
PROV1091;Seya;Seya;Seya;;;;;;;;;x
PROV1092;Koraam;Koraam;Koraam;;;;;;;;;x
PROV1093;Toradra;Toradra;Toradra;;;;;;;;;x
PROV1094;Qoreda;Qoreda;Qoreda;;;;;;;;;x
PROV1095;Bala;Bala;Bala;;;;;;;;;x
PROV1097;Egraura;Egraura;Egraura;;;;;;;;;x
PROV1098;Raematti;Raematti;Raematti;;;;;;;;;x
PROV1099;Takabra;Takabra;Takabra;;;;;;;;;x
PROV1100;Ematti;Ematti;Ematti;;;;;;;;;x
PROV1101;Aniceda;Aniceda;Aniceda;;;;;;;;;x
PROV1102;Saam;Saam;Saam;;;;;;;;;x
PROV1136;Nohdal;Nohdal;Nohdal;;;;;;;;;x
PROV1138;Daurala;Daurala;Daurala;;;;;;;;;x
PROV1144;Rameya;Rameya;Rameya;;;;;;;;;x
PROV1145;Wemebia;Wemebia;Wemebia;;;;;;;;;x
PROV1158;Tahkatti;Tahkatti;Tahkatti;;;;;;;;;x
PROV1161;Bapala;Bapala;Bapala;;;;;;;;;x
PROV1166;Kahkeus;Kahkeus;Kahkeus;;;;;;;;;x
PROV1176;Dorala;Dorala;Dorala;;;;;;;;;x
PROV1202;Ketaura;Ketaura;Ketaura;;;;;;;;;x
PROV1209;Bucadi;Bucadi;Bucadi;;;;;;;;;x
PROV1210;Daurebia;Daurebia;Daurebia;;;;;;;;;x
PROV1211;Taureya;Taureya;Taureya;;;;;;;;;x
